"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.273447444082116"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","20.31268477458725"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","20.392882415709813"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.383913193813314"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","20.521544115670036"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","21.237071700374106"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","20.363890369788365"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","20.053897474861991"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","20.209171226282521"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.323036015009414"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.105954340214488"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.550113385953509"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.252233674809489"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","19.088697272325277"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","17.749080465925811"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","17.302810234629469"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","16.844940136292092"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","17.254962894843342"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","18.148108568061598"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","17.2701598042424"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","16.731737527638703"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","15.40042498588314"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","15.684292587362656"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","15.373781868722732"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","14.342932977803638"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","14.303139856126169"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.525099810675279"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.335960173734929"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.495252373887832"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.520650951808221"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.846291200876164"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.636745457894767"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.405242739670541"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","14.031040904697129"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.97240513371937"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.404111903929438"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.164382158680182"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.14557725399324"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.988174117214626"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.957781972876903"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.358336693297467"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.091995978018479"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.10368723087862"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","10.985601974389583"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","10.39632522467976"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","11.888865672338756"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","10.64014781330177"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","11.570011586977627"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","11.990298579194437"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","12.126798469898828"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Seasonally adjusted","18 to 24","Female","Percentage (%)","Units","Normal value","13.100075118119586"
"2002","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.255"
"2003","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.5525"
"2004","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.3575"
"2005","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.6875"
"2006","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.02"
"2007","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.83"
"2008","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.9825"
"2009","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.7325"
"2010","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.9425"
"2011","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.225"
"2012","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.5925"
"2013","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.89"
"2014","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.655"
"2015","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.545"
"2016","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","12.2225"
"2017","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.2275"
"2018","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.77"
"2019","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.1525"
"2020","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.5875"
"2021","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","9.175"
"2022","Proportion of youth not in education, employment or training","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.1425"
"2001 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.46565685931218"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.760206900224574"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.728112118641731"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.667105909583647"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.201923347807014"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.418909556994643"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.053054051461137"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.350222388889712"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.470950316829402"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.340864298296379"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.794601855029809"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.758288180239877"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.954456070515032"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.930008514295837"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.888543026393197"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.175382435936816"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.068878969395787"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.611857428992023"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.143788939998004"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.398174462697781"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","18.314651960993132"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.226540424203233"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.009447341884885"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.430158035862455"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.739417473311018"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.139077572664316"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.59778827094247"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.671329442285991"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.989163852237887"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.672717394332672"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.459584946247571"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.550176125334161"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","18.7325899859615"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.194037011353547"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.010277406614605"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.971947246546639"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","18.99303419755692"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.79676265998166"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.299444414970742"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.982760588263965"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","19.810064078517275"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.812197210435681"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.128968938221107"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.780113786810151"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.957307488898667"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.495540992249266"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.559441076532266"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","15.923983420464296"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","17.729900261653807"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.353669619394397"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.589369225164848"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.948573541103821"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","16.200275644160918"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.882792397913283"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.601298984505616"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.535075113192752"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","14.516663810345801"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","12.522970789874083"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","12.192397376500409"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.876728375927252"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.733829074472755"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.085570383647688"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.779789240961634"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.106178624615863"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","12.33628133589586"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.679349287526438"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.911298575423453"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.840964747153579"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","13.583671702703008"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.74539048245683"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.507614070471348"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.749938929031089"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","12.670930873513406"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.677784716299834"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.135026211570427"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","10.656721388081767"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.580934045809824"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","9.9734618579812562"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","8.4317341113755528"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","8.3877558923358375"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.132714561555721"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","8.7497661765806534"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","8.6603832791097037"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","9.2845209386562999"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.556017908506568"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Female","Percentage (%)","Units","Normal value","11.070533028590724"
"2002","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.5425"
"2003","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.0625"
"2004","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.4475"
"2005","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.15"
"2006","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.03"
"2007","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.87"
"2008","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.4575"
"2009","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.05"
"2010","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.98"
"2011","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.85"
"2012","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.44"
"2013","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.15"
"2014","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.05"
"2015","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.855"
"2016","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.7175"
"2017","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.0125"
"2018","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.835"
"2019","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.1025"
"2020","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.065"
"2021","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.905"
"2022","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.785"
"2001 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","9.2279456828789783"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.5052844033544481"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.991129580173622"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.7627971185924647"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","9.6799299207544394"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.7437704560747838"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.4080538153847968"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.9061882290345693"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","9.4545819422030011"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.4777591522245013"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.1087026017392505"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.2369664341317295"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","10.20526833885757"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.2260307292663528"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.6203291711224042"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.2377139026265649"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","8.5726433887066715"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.1687896412486927"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.8880666477115904"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.2574069477564107"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","9.8786077596737289"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.0899885703967733"
