"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2018","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","14.1"
"2017","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.3"
"2016","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.1"
"2015","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.1"
"2014","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","17.4"
"2013","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.3"
"2012","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.2"
"2011","Female","55-64","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.9"
"2021","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.1"
"2020","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","7.8"
"2019","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","7.8"
"2018","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","8.1"
"2017","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","8.1"
"2016","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","8.4"
"2015","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.3"
"2014","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.9"
"2013","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","9.8"
"2012","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","10.4"
"2011","Female","65+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","10.1"
"2021","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","12.1"
"2020","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","12.7"
"2019","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","14.2"
"2018","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","15.1"
"2017","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","15.4"
"2016","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","16.2"
"2015","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","17.2"
"2014","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.3"
"2013","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","18.7"
"2012","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","19.6"
"2011","Female","All 18+","","Yorkshire and The Humber","","","","Percentage","Units","Normal value","20.1"
"2021","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","10.3"
"2020","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","10.9"
"2019","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","13.7"
"2018","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","15.7"
"2017","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","18.1"
"2016","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","17.9"
"2015","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","19.4"
"2014","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","22.9"
"2013","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","22.6"
"2012","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","26.1"
"2011","Female","18-24","","East Midlands","","","","Percentage","Units","Normal value","27.2"
"2021","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","11.9"
"2020","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","15.8"
"2019","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","16.7"
"2018","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","18"
"2017","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","17.1"
"2016","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","19.7"
"2015","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","22.1"
"2014","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","21"
"2013","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","25.8"
"2012","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","25.8"
"2011","Female","25-34","","East Midlands","","","","Percentage","Units","Normal value","24.3"
"2021","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","13.2"
"2020","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","15.1"
"2019","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","12.5"
"2018","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","15.5"
"2017","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","17.6"
"2016","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","17.1"
"2015","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","18.9"
"2014","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","17.6"
"2013","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","17.6"
"2012","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","18.2"
"2011","Female","35-44","","East Midlands","","","","Percentage","Units","Normal value","21.1"
"2021","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","13.7"
"2020","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","11.7"
"2019","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","15.5"
"2018","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","17.9"
"2017","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","17"
"2016","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","16.4"
"2015","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","17.5"
"2014","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","16.7"
"2013","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","16.2"
"2012","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","19.5"
"2011","Female","45-54","","East Midlands","","","","Percentage","Units","Normal value","19.7"
"2021","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","13.2"
"2020","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","14.7"
"2019","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","16.8"
"2018","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","13.4"
"2017","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","12.3"
"2016","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","14.9"
"2015","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","14"
"2014","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","15.7"
"2013","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","14.9"
"2012","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","16.5"
"2011","Female","55-64","","East Midlands","","","","Percentage","Units","Normal value","17.5"
"2021","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","6.1"
"2020","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","6.8"
"2019","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","7.6"
"2018","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","8.2"
"2017","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","8.1"
"2016","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","7.9"
"2015","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","9.1"
"2014","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","8.6"
"2013","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","9.3"
"2012","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","8.6"
"2011","Female","65+","","East Midlands","","","","Percentage","Units","Normal value","8.9"
"2021","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","10.9"
"2020","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","11.9"
"2019","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","13.2"
"2018","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","14.1"
"2017","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","14.2"
"2016","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","14.8"
"2015","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","16"
"2014","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","16"
"2013","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","16.7"
"2012","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","17.9"
"2011","Female","All 18+","","East Midlands","","","","Percentage","Units","Normal value","18.6"
"2021","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","9.7"
"2020","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","12.6"
"2019","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","9.8"
"2018","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","11.9"
"2017","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","12.3"
"2016","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","15.2"
"2015","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","17.4"
"2014","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","16.6"
"2013","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","19.6"
"2012","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","20.1"
"2011","Female","18-24","","West Midlands","","","","Percentage","Units","Normal value","21.4"
"2021","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","14.4"
"2020","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","18.3"
"2019","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","15.2"
"2018","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","15.9"
"2017","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","16.9"
"2016","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","17.4"
"2015","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","20.8"
"2014","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","18.5"
"2013","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","17.8"
"2012","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","19.2"
"2011","Female","25-34","","West Midlands","","","","Percentage","Units","Normal value","22.5"
"2021","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","11.3"
"2020","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","11.3"
"2019","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","12.7"
"2018","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","12.5"
"2017","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","13.2"
"2016","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","15.4"
"2015","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","14.7"
"2014","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","15.4"
"2013","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","18.3"
"2012","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","18.5"
"2011","Female","35-44","","West Midlands","","","","Percentage","Units","Normal value","19"
"2021","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","13.3"
"2020","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","14.3"
"2019","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","14.5"
"2018","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","15.5"
"2017","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","14.6"
"2016","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","14.9"
"2015","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","15.5"
"2014","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","17.3"
"2013","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","18.4"
"2012","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","18.4"
"2011","Female","45-54","","West Midlands","","","","Percentage","Units","Normal value","18.7"
"2021","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","14.1"
"2020","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","12.5"
"2019","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","12.7"
"2018","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","12.5"
"2017","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","12.5"
"2016","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","12.3"
"2015","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","14.4"
"2014","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","14.4"
"2013","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","14.4"
"2012","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","15.7"
"2011","Female","55-64","","West Midlands","","","","Percentage","Units","Normal value","16.6"
"2021","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","6.4"
"2020","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","7.4"
"2019","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","7.4"
"2018","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","7.7"
"2017","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","6.5"
"2016","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","7.9"
"2015","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","7.8"
"2014","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","8.3"
"2013","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","8.6"
"2012","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","8.1"
"2011","Female","65+","","West Midlands","","","","Percentage","Units","Normal value","8.4"
"2021","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","11.2"
"2020","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","12.3"
"2019","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","11.8"
"2018","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","12.3"
"2017","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","12.2"
"2016","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","13.3"
"2015","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","14.4"
"2014","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","14.5"
"2013","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","15.5"
"2012","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","15.9"
"2011","Female","All 18+","","West Midlands","","","","Percentage","Units","Normal value","16.9"
"2021","Female","18-24","","East of England","","","","Percentage","Units","Normal value","14"
"2020","Female","18-24","","East of England","","","","Percentage","Units","Normal value","13.1"
"2019","Female","18-24","","East of England","","","","Percentage","Units","Normal value","19"
"2018","Female","18-24","","East of England","","","","Percentage","Units","Normal value","12.9"
"2017","Female","18-24","","East of England","","","","Percentage","Units","Normal value","13.3"
"2016","Female","18-24","","East of England","","","","Percentage","Units","Normal value","13.1"
"2015","Female","18-24","","East of England","","","","Percentage","Units","Normal value","19.4"
"2014","Female","18-24","","East of England","","","","Percentage","Units","Normal value","22.6"
"2013","Female","18-24","","East of England","","","","Percentage","Units","Normal value","21.1"
"2012","Female","18-24","","East of England","","","","Percentage","Units","Normal value","25.7"
"2011","Female","18-24","","East of England","","","","Percentage","Units","Normal value","23.7"
"2021","Female","25-34","","East of England","","","","Percentage","Units","Normal value","15.9"
"2020","Female","25-34","","East of England","","","","Percentage","Units","Normal value","19"
"2019","Female","25-34","","East of England","","","","Percentage","Units","Normal value","16.9"
"2018","Female","25-34","","East of England","","","","Percentage","Units","Normal value","14.6"
"2017","Female","25-34","","East of England","","","","Percentage","Units","Normal value","15.1"
"2016","Female","25-34","","East of England","","","","Percentage","Units","Normal value","18.9"
"2015","Female","25-34","","East of England","","","","Percentage","Units","Normal value","20.4"
"2014","Female","25-34","","East of England","","","","Percentage","Units","Normal value","18.1"
"2013","Female","25-34","","East of England","","","","Percentage","Units","Normal value","19.5"
"2012","Female","25-34","","East of England","","","","Percentage","Units","Normal value","19.8"
"2011","Female","25-34","","East of England","","","","Percentage","Units","Normal value","21.1"
"2021","Female","35-44","","East of England","","","","Percentage","Units","Normal value","12"
"2020","Female","35-44","","East of England","","","","Percentage","Units","Normal value","14.8"
"2019","Female","35-44","","East of England","","","","Percentage","Units","Normal value","13.7"
"2018","Female","35-44","","East of England","","","","Percentage","Units","Normal value","13.1"
"2017","Female","35-44","","East of England","","","","Percentage","Units","Normal value","12.5"
"2016","Female","35-44","","East of England","","","","Percentage","Units","Normal value","13.5"
"2015","Female","35-44","","East of England","","","","Percentage","Units","Normal value","16.8"
"2014","Female","35-44","","East of England","","","","Percentage","Units","Normal value","16"
"2013","Female","35-44","","East of England","","","","Percentage","Units","Normal value","17.8"
"2012","Female","35-44","","East of England","","","","Percentage","Units","Normal value","17.3"
"2011","Female","35-44","","East of England","","","","Percentage","Units","Normal value","19.3"
"2021","Female","45-54","","East of England","","","","Percentage","Units","Normal value","13.6"
"2020","Female","45-54","","East of England","","","","Percentage","Units","Normal value","14.9"
"2019","Female","45-54","","East of England","","","","Percentage","Units","Normal value","14.1"
"2018","Female","45-54","","East of England","","","","Percentage","Units","Normal value","13.6"
"2017","Female","45-54","","East of England","","","","Percentage","Units","Normal value","13.8"
"2016","Female","45-54","","East of England","","","","Percentage","Units","Normal value","14.7"
"2015","Female","45-54","","East of England","","","","Percentage","Units","Normal value","15.5"
"2014","Female","45-54","","East of England","","","","Percentage","Units","Normal value","17.4"
"2013","Female","45-54","","East of England","","","","Percentage","Units","Normal value","15.3"
"2012","Female","45-54","","East of England","","","","Percentage","Units","Normal value","14.7"
"2011","Female","45-54","","East of England","","","","Percentage","Units","Normal value","19.1"
"2021","Female","55-64","","East of England","","","","Percentage","Units","Normal value","12.2"
"2020","Female","55-64","","East of England","","","","Percentage","Units","Normal value","11.7"
"2019","Female","55-64","","East of England","","","","Percentage","Units","Normal value","10.6"
"2018","Female","55-64","","East of England","","","","Percentage","Units","Normal value","12.6"
"2017","Female","55-64","","East of England","","","","Percentage","Units","Normal value","14.9"
"2016","Female","55-64","","East of England","","","","Percentage","Units","Normal value","12.7"
"2015","Female","55-64","","East of England","","","","Percentage","Units","Normal value","13.8"
"2014","Female","55-64","","East of England","","","","Percentage","Units","Normal value","15.4"
"2013","Female","55-64","","East of England","","","","Percentage","Units","Normal value","15.7"
"2012","Female","55-64","","East of England","","","","Percentage","Units","Normal value","15.9"
"2011","Female","55-64","","East of England","","","","Percentage","Units","Normal value","14.2"
"2021","Female","65+","","East of England","","","","Percentage","Units","Normal value","8.2"
"2020","Female","65+","","East of England","","","","Percentage","Units","Normal value","7.6"
"2019","Female","65+","","East of England","","","","Percentage","Units","Normal value","6.6"
"2018","Female","65+","","East of England","","","","Percentage","Units","Normal value","5.2"
"2017","Female","65+","","East of England","","","","Percentage","Units","Normal value","7.3"
"2016","Female","65+","","East of England","","","","Percentage","Units","Normal value","6.3"
"2015","Female","65+","","East of England","","","","Percentage","Units","Normal value","6.5"
"2014","Female","65+","","East of England","","","","Percentage","Units","Normal value","8.3"
"2013","Female","65+","","East of England","","","","Percentage","Units","Normal value","7.2"
"2012","Female","65+","","East of England","","","","Percentage","Units","Normal value","8.5"
"2011","Female","65+","","East of England","","","","Percentage","Units","Normal value","8.6"
"2021","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","12"
"2020","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","12.8"
"2019","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","12.3"
"2018","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","11.2"
"2017","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","12.2"
"2016","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","12.5"
"2015","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","14.2"
"2014","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","15.2"
"2013","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","14.9"
"2012","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","15.6"
"2011","Female","All 18+","","East of England","","","","Percentage","Units","Normal value","16.6"
"2021","Female","18-24","","London","","","","Percentage","Units","Normal value","7.3"
"2020","Female","18-24","","London","","","","Percentage","Units","Normal value","9.7"
"2019","Female","18-24","","London","","","","Percentage","Units","Normal value","7.9"
"2018","Female","18-24","","London","","","","Percentage","Units","Normal value","11.1"
"2017","Female","18-24","","London","","","","Percentage","Units","Normal value","13.4"
"2016","Female","18-24","","London","","","","Percentage","Units","Normal value","12.2"
"2015","Female","18-24","","London","","","","Percentage","Units","Normal value","15.2"
"2014","Female","18-24","","London","","","","Percentage","Units","Normal value","18"
"2013","Female","18-24","","London","","","","Percentage","Units","Normal value","15.4"
"2012","Female","18-24","","London","","","","Percentage","Units","Normal value","16.6"
"2011","Female","18-24","","London","","","","Percentage","Units","Normal value","17.2"
"2021","Female","25-34","","London","","","","Percentage","Units","Normal value","9.7"
"2020","Female","25-34","","London","","","","Percentage","Units","Normal value","11.1"
"2019","Female","25-34","","London","","","","Percentage","Units","Normal value","11.7"
"2018","Female","25-34","","London","","","","Percentage","Units","Normal value","12.6"
"2017","Female","25-34","","London","","","","Percentage","Units","Normal value","12.5"
"2016","Female","25-34","","London","","","","Percentage","Units","Normal value","13.6"
"2015","Female","25-34","","London","","","","Percentage","Units","Normal value","13.8"
"2014","Female","25-34","","London","","","","Percentage","Units","Normal value","16"
"2013","Female","25-34","","London","","","","Percentage","Units","Normal value","15.4"
"2012","Female","25-34","","London","","","","Percentage","Units","Normal value","15.6"
"2011","Female","25-34","","London","","","","Percentage","Units","Normal value","17.6"
"2021","Female","35-44","","London","","","","Percentage","Units","Normal value","11.2"
"2020","Female","35-44","","London","","","","Percentage","Units","Normal value","10.5"
"2019","Female","35-44","","London","","","","Percentage","Units","Normal value","9.4"
"2018","Female","35-44","","London","","","","Percentage","Units","Normal value","11.6"
"2017","Female","35-44","","London","","","","Percentage","Units","Normal value","10.7"
"2016","Female","35-44","","London","","","","Percentage","Units","Normal value","11.8"
"2015","Female","35-44","","London","","","","Percentage","Units","Normal value","12.3"
"2014","Female","35-44","","London","","","","Percentage","Units","Normal value","12.3"
"2013","Female","35-44","","London","","","","Percentage","Units","Normal value","12.8"
"2012","Female","35-44","","London","","","","Percentage","Units","Normal value","15.2"
"2011","Female","35-44","","London","","","","Percentage","Units","Normal value","17.6"
"2021","Female","45-54","","London","","","","Percentage","Units","Normal value","11.4"
"2020","Female","45-54","","London","","","","Percentage","Units","Normal value","11.4"
"2019","Female","45-54","","London","","","","Percentage","Units","Normal value","12.3"
"2018","Female","45-54","","London","","","","Percentage","Units","Normal value","13.3"
"2017","Female","45-54","","London","","","","Percentage","Units","Normal value","13.4"
"2016","Female","45-54","","London","","","","Percentage","Units","Normal value","13"
"2015","Female","45-54","","London","","","","Percentage","Units","Normal value","13.8"
"2014","Female","45-54","","London","","","","Percentage","Units","Normal value","15.4"
"2013","Female","45-54","","London","","","","Percentage","Units","Normal value","15.8"
"2012","Female","45-54","","London","","","","Percentage","Units","Normal value","14.5"
"2011","Female","45-54","","London","","","","Percentage","Units","Normal value","15.7"
"2021","Female","55-64","","London","","","","Percentage","Units","Normal value","11.7"
"2020","Female","55-64","","London","","","","Percentage","Units","Normal value","9.9"
"2019","Female","55-64","","London","","","","Percentage","Units","Normal value","11.2"
"2018","Female","55-64","","London","","","","Percentage","Units","Normal value","12.3"
"2017","Female","55-64","","London","","","","Percentage","Units","Normal value","11.4"
"2016","Female","55-64","","London","","","","Percentage","Units","Normal value","13"
"2015","Female","55-64","","London","","","","Percentage","Units","Normal value","12.2"
"2014","Female","55-64","","London","","","","Percentage","Units","Normal value","12.9"
"2013","Female","55-64","","London","","","","Percentage","Units","Normal value","14.1"
"2012","Female","55-64","","London","","","","Percentage","Units","Normal value","14.2"
"2011","Female","55-64","","London","","","","Percentage","Units","Normal value","14.5"
"2021","Female","65+","","London","","","","Percentage","Units","Normal value","7.6"
"2020","Female","65+","","London","","","","Percentage","Units","Normal value","6.9"
"2019","Female","65+","","London","","","","Percentage","Units","Normal value","5.5"
"2018","Female","65+","","London","","","","Percentage","Units","Normal value","6.8"
"2017","Female","65+","","London","","","","Percentage","Units","Normal value","6.1"
"2016","Female","65+","","London","","","","Percentage","Units","Normal value","6.9"
"2015","Female","65+","","London","","","","Percentage","Units","Normal value","7.3"
"2014","Female","65+","","London","","","","Percentage","Units","Normal value","7.5"
"2013","Female","65+","","London","","","","Percentage","Units","Normal value","8"
"2012","Female","65+","","London","","","","Percentage","Units","Normal value","8.6"
"2011","Female","65+","","London","","","","Percentage","Units","Normal value","8.3"
"2021","Female","All 18+","","London","","","","Percentage","Units","Normal value","9.9"
"2020","Female","All 18+","","London","","","","Percentage","Units","Normal value","10"
"2019","Female","All 18+","","London","","","","Percentage","Units","Normal value","9.8"
"2018","Female","All 18+","","London","","","","Percentage","Units","Normal value","11.4"
"2017","Female","All 18+","","London","","","","Percentage","Units","Normal value","11.2"
"2016","Female","All 18+","","London","","","","Percentage","Units","Normal value","11.9"
"2015","Female","All 18+","","London","","","","Percentage","Units","Normal value","12.4"
"2014","Female","All 18+","","London","","","","Percentage","Units","Normal value","13.7"
"2013","Female","All 18+","","London","","","","Percentage","Units","Normal value","13.6"
"2012","Female","All 18+","","London","","","","Percentage","Units","Normal value","14.2"
"2011","Female","All 18+","","London","","","","Percentage","Units","Normal value","15.4"
"2021","Female","18-24","","South East","","","","Percentage","Units","Normal value","11"
"2020","Female","18-24","","South East","","","","Percentage","Units","Normal value","13.5"
"2019","Female","18-24","","South East","","","","Percentage","Units","Normal value","15.6"
"2018","Female","18-24","","South East","","","","Percentage","Units","Normal value","15.3"
"2017","Female","18-24","","South East","","","","Percentage","Units","Normal value","16"
"2016","Female","18-24","","South East","","","","Percentage","Units","Normal value","19.6"
"2015","Female","18-24","","South East","","","","Percentage","Units","Normal value","22"
"2014","Female","18-24","","South East","","","","Percentage","Units","Normal value","23.9"
"2013","Female","18-24","","South East","","","","Percentage","Units","Normal value","21.8"
"2012","Female","18-24","","South East","","","","Percentage","Units","Normal value","21.2"
"2011","Female","18-24","","South East","","","","Percentage","Units","Normal value","26"
"2021","Female","25-34","","South East","","","","Percentage","Units","Normal value","14.9"
"2020","Female","25-34","","South East","","","","Percentage","Units","Normal value","13.8"
"2019","Female","25-34","","South East","","","","Percentage","Units","Normal value","16.2"
"2018","Female","25-34","","South East","","","","Percentage","Units","Normal value","16.8"
"2017","Female","25-34","","South East","","","","Percentage","Units","Normal value","18.1"
"2016","Female","25-34","","South East","","","","Percentage","Units","Normal value","18.7"
"2015","Female","25-34","","South East","","","","Percentage","Units","Normal value","18.1"
"2014","Female","25-34","","South East","","","","Percentage","Units","Normal value","18.5"
"2013","Female","25-34","","South East","","","","Percentage","Units","Normal value","21"
"2012","Female","25-34","","South East","","","","Percentage","Units","Normal value","21.7"
"2011","Female","25-34","","South East","","","","Percentage","Units","Normal value","19.7"
"2021","Female","35-44","","South East","","","","Percentage","Units","Normal value","10.6"
"2020","Female","35-44","","South East","","","","Percentage","Units","Normal value","11.2"
"2019","Female","35-44","","South East","","","","Percentage","Units","Normal value","10.6"
"2018","Female","35-44","","South East","","","","Percentage","Units","Normal value","11.2"
"2017","Female","35-44","","South East","","","","Percentage","Units","Normal value","12.1"
"2016","Female","35-44","","South East","","","","Percentage","Units","Normal value","12.6"
"2015","Female","35-44","","South East","","","","Percentage","Units","Normal value","16.6"
"2014","Female","35-44","","South East","","","","Percentage","Units","Normal value","16"
